t,v_out
1.64062968e-05,1.64038117
1.64562968e-05,1.64038117
1.65062968e-05,1.64038117
1.65562968e-05,1.64038117
1.66062968e-05,1.64038117
1.66562968e-05,1.64038117
1.67062968e-05,1.64038117
1.67562968e-05,1.64038117
1.68062968e-05,1.64038117
1.68562968e-05,1.64038117
1.69062968e-05,1.64038117
1.69562968e-05,1.64038117
1.70062968e-05,1.64038117
1.70562968e-05,1.64038117
1.71062968e-05,1.64038117
1.71562968e-05,1.64038117
1.72062968e-05,1.64038117
1.72562968e-05,1.64038117
1.73062968e-05,1.64038117
1.73562968e-05,1.64038117
1.74062968e-05,1.64038117
1.74562968e-05,1.64038117
1.75062968e-05,1.64038117
1.75562968e-05,1.64038117
1.76062968e-05,1.64038117
1.76562968e-05,1.64038117
1.77062968e-05,1.64038117
1.77562968e-05,1.64038117
1.78062968e-05,1.64038117
1.78562968e-05,1.64038117
1.79062968e-05,1.64038117
1.79562968e-05,1.64038117
1.80062968e-05,1.64038117
1.80562968e-05,1.64038117
1.81062968e-05,1.64038117
1.81562968e-05,1.64038117
1.82062968e-05,1.64038117
1.82562968e-05,1.64038117
1.83062968e-05,1.64038117
1.83562968e-05,1.64038117
1.84062968e-05,1.64038117
1.84562968e-05,1.64038117
1.85062968e-05,1.64038117
1.85562968e-05,1.64038117
1.86062968e-05,1.64038117
1.86562968e-05,1.64038117
1.87062968e-05,1.64038117
1.87562968e-05,1.64038117
1.88062968e-05,1.64038117
1.88562968e-05,1.64038117
1.89062968e-05,1.64038117
1.89562968e-05,1.64038117
1.90062968e-05,1.64038117
1.90562968e-05,1.64038117
1.91062968e-05,1.64038117
1.91562968e-05,1.64038117
1.92062968e-05,1.64038117
1.92562968e-05,1.64038117
1.93062968e-05,1.64038117
1.93562968e-05,1.64038117
1.94062968e-05,1.64038117
1.94562968e-05,1.64038117
1.95062968e-05,1.64038117
1.95562968e-05,1.64038117
1.96062968e-05,1.64038117
1.96562968e-05,1.64038117
1.97062968e-05,1.64038117
1.97562968e-05,1.64038117
1.98062968e-05,1.64038117
1.98562968e-05,1.64038117
1.99062968e-05,1.64038117
1.99562968e-05,1.64038117
2e-05,1.64038117
